year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,198,944,82.66
2004,1135,202,933,82.20
2005,1097,178,919,83.77
2006,1118,182,936,83.72
2007,1090,149,941,86.33
2008,1108,144,964,87.00
2009,1140,155,985,86.40
2010,1099,129,970,88.26
2011,1101,114,987,89.65
2012,1103,109,994,90.12
2013,1105,97,1008,91.22
2014,1053,90,963,91.45
2015,1059,75,984,92.92
2016,1122,67,1055,94.03
2017,1091,56,1035,94.87
2018,1147,50,1097,95.64
2019,1083,49,1034,95.48
2020,1012,27,985,97.33
